,PFA-1-1,PFA-2-1,PFA-3-1,PFA-4-1,PFV-1-1,PFV-2-1,PFV-3-1,PFV-4-1,PID-1-1,PID-2-1,PID-3-1,PFA-1-2,PFA-2-2,PFA-3-2,PFA-4-2,PFV-1-2,PFV-2-2,PFV-3-2,PFV-4-2,PID-1-2,PID-2-2,PID-3-2
Units,g,g,g,g,inps,inps,inps,inps,rad,rad,rad,g,g,g,g,inps,inps,inps,inps,rad,rad,rad
67,0.4007841614906832,0.0878944099378882,0.1191394927536231,0.1569440993788819,86.0024,86.1629,86.57700000000001,87.0975,0.0025346153846153,0.0033596153846153,0.0031435897435897,0.4007841614906832,0.0878944099378882,0.1191394927536231,0.1569440993788819,86.0024,86.1629,86.57700000000001,87.0975,0.0025346153846153,0.0033596153846153,0.0031435897435897
68,4.619694616977226,2.084992236024845,1.3695496894409938,1.2457246376811597,64.1922,66.6207,63.2568,69.6175,0.0351134615384615,0.0298942307692307,0.0400814102564102,4.619694616977226,2.084992236024845,1.3695496894409938,1.2457246376811597,64.1922,66.6207,63.2568,69.6175,0.0351134615384615,0.0298942307692307,0.0400814102564102
69,0.7275828157349896,1.033762939958592,0.3668478260869565,0.5264466873706005,22.0164,37.2418,47.3952,51.5564,0.2000782564102564,0.0207826923076923,0.0132871794871794,0.7275828157349896,1.033762939958592,0.3668478260869565,0.5264466873706005,22.0164,37.2418,47.3952,51.5564,0.2000782564102564,0.0207826923076923,0.0132871794871794
71,3.632919254658385,1.3346687370600414,1.1829684265010352,1.192857142857143,56.5249,58.9608,60.4216,66.315,0.0309275641025641,0.0275339743589743,0.0262429487179487,3.632919254658385,1.3346687370600414,1.1829684265010352,1.192857142857143,56.5249,58.9608,60.4216,66.315,0.0309275641025641,0.0275339743589743,0.0262429487179487
72,3.6172877846790894,1.238561076604555,0.8572049689440994,0.8746739130434783,67.8937,69.5766,77.2495,76.6377,0.027326923076923,0.0253032051282051,0.0285442307692307,3.6172877846790894,1.238561076604555,0.8572049689440994,0.8746739130434783,67.8937,69.5766,77.2495,76.6377,0.027326923076923,0.0253032051282051,0.0285442307692307
73,0.9879270186335404,0.4022334368530021,0.3370134575569358,0.4112965838509317,65.2616,66.7936,64.975,58.8679,0.0060275641025641,0.0074679487179487,0.0090064102564102,0.9879270186335404,0.4022334368530021,0.3370134575569358,0.4112965838509317,65.2616,66.7936,64.975,58.8679,0.0060275641025641,0.0074679487179487,0.0090064102564102
74,3.412396480331263,0.1024684265010352,0.4102795031055901,0.0375416666666666,72.4461,16.7078,32.504,58.8055,0.1999397435897436,0.0398083333333333,0.0234115384615384,3.412396480331263,0.1024684265010352,0.4102795031055901,0.0375416666666666,72.4461,16.7078,32.504,58.8055,0.1999397435897436,0.0398083333333333,0.0234115384615384
75,0.860023291925466,0.1144764492753623,0.4813612836438923,0.0126524585921325,81.5228,6.737439999999999,22.2047,48.5415,0.2001357692307692,0.0408448717948718,0.0231826923076922,0.860023291925466,0.1144764492753623,0.4813612836438923,0.0126524585921325,81.5228,6.737439999999999,22.2047,48.5415,0.2001357692307692,0.0408448717948718,0.0231826923076922
76,3.472748447204969,1.5442313664596274,1.1371997929606623,1.1105486542443064,124.852,126.449,128.128,128.928,0.0507294871794871,0.0363621794871794,0.0380615384615384,3.472748447204969,1.5442313664596274,1.1371997929606623,1.1105486542443064,124.852,126.449,128.128,128.928,0.0507294871794871,0.0363621794871794,0.0380615384615384
78,0.3396816770186335,0.0771601966873706,0.0868234989648033,0.1267748447204968,60.4658,59.6002,59.7394,60.4922,0.0021916666666666,0.0030038461538461,0.0029839743589743,0.3396816770186335,0.0771601966873706,0.0868234989648033,0.1267748447204968,60.4658,59.6002,59.7394,60.4922,0.0021916666666666,0.0030038461538461,0.0029839743589743
