,S1,Ss,Tm,zetaM,gapRatio,RI,mu1,R1,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,IDALevel,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed,collapsed,serviceFailure,Bm,DesignDm,earthquakeDm,moatAmpli,Tshort
147,1.017,2.2815,3.5,0.15,1.0119876472916112,1.0,0.0311693113307878,40.0,RSN1083_NORTHR_GLE170,6.952042175988941,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166428,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.4311870289894866,0.3809405250585139,0.2038843343842838,0.2871294223294985,1.0,19.1264,0.0017064102564102,0.0027190384615384,0.0030872435897435,0.282360248447205,0.0695929089026915,0.0910967908902691,0.1243651656314699,39.339,40.5366,41.2986,41.8173,0,0,0,0,0,0,0,0,0,2.6467948717948324e-05,7.923076923076307e-06,0.0001835512820512,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,25.501010990734294,1.0119876472916114,0.4457593688362919
148,1.017,2.2815,3.5,0.15,0.7494487150542282,1.0,0.0311693113307878,40.0,RSN1148_KOCAELI_ARE000,9.619511840112606,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166632,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.1219275137170692,0.3335897092029781,0.26892022848525,0.3877135589596729,1.0,28.2941,0.1429397435897436,0.0710198717948718,0.0521423076923076,4.858074534161491,1.9510222567287785,1.4712292960662527,1.213597308488613,59.4968,62.9497,70.2549,66.684,1,1,1,1,1,1,1,1,1,0.1337576282051282,0.0553487179487179,0.0313891025641025,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,34.4342549365815,0.7494487150542282,0.4457593688362919
149,1.017,2.2815,3.5,0.15,0.8491592626802189,1.0,0.0311693113307878,40.0,RSN1541_CHICHI_TCU116-E,2.3621533109144344,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516674,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.407104964180011,0.4020522126651781,0.3162329617378784,0.3421871977870112,1.0,27.5361,0.0558185897435897,0.0402442307692307,0.0425557692307692,3.178234989648033,1.587034161490683,0.92453933747412,0.9281702898550724,58.6608,54.4305,59.984,69.1177,1,0,0,1,1,1,1,1,1,0.037906282051282,0.018876282051282,0.0155814102564102,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,30.390892792732984,0.8491592626802189,0.4457593688362919
150,1.017,2.2815,3.5,0.15,0.9199396918318435,1.0,0.0311693113307878,40.0,RSN1545_CHICHI_TCU120-E,2.0553848707827758,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516641,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,0.978384163418283,0.6842066825271146,0.2671096172450097,0.3158592146326722,1.0,27.3202,0.0396724358974359,0.0314987179487179,0.0344532051282051,2.6999482401656314,1.425261387163561,0.7519824016563147,0.8623498964803313,64.262,63.8789,63.9683,65.0315,0,0,0,1,1,1,1,1,1,0.0310693589743589,0.0206266666666666,0.0189255128205128,0,1,0,1,0,-1.0,1.0,1.3499999999999999,25.806708116070713,28.05260860598669,0.9199396918318435,0.4457593688362919
151,1.017,2.2815,3.5,0.15,1.4561489430007575,1.0,0.0311693113307878,40.0,RSN1549_CHICHI_TCU129-E,2.0073871819906928,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166474,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.168108437397576,0.4174297005605248,0.2146995338455462,0.1995478759010969,1.0,27.2645,0.0341839743589743,0.0305865384615384,0.0326576923076923,3.2949275362318846,1.3170031055900622,1.1563354037267082,1.0447722567287785,75.6302,68.8032,57.5008,59.4216,0,0,0,1,1,1,1,1,1,0.0094432051282051,0.0025707051282051,0.0044742948717948,1,1,1,1,0,-1.0,1.0,1.3499999999999999,25.806708116070713,17.722574493574516,1.4561489430007577,0.4457593688362919
153,1.017,2.2815,3.5,0.15,1.0916276409592462,1.0,0.0311693113307878,40.0,RSN1615_DUZCE_1062-N,13.20854736971754,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516645,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.266277547581976,0.4088710544529003,0.2939561842044491,0.2661818166459166,1.0,27.6432,0.0904365384615384,0.0321967948717948,0.0282839743589744,4.628234989648033,1.8374197722567287,1.2089622153209112,1.1472412008281576,57.9416,62.2197,68.5249,68.9285,1,0,0,1,1,1,1,1,1,0.0833335897435897,0.0275576923076923,0.0173121794871794,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,23.64057774626665,1.0916276409592462,0.4457593688362919
155,1.017,2.2815,3.5,0.15,1.148043149765401,1.0,0.0311693113307878,40.0,RSN3760_LANDERS_BLC360,11.285545232054366,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516618,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,0.8943547442962503,0.4319694863688132,0.300828430272581,0.2531014871965448,1.0,27.8052,0.0934205128205128,0.0839999999999999,0.0535448717948718,5.348576604554866,1.6794073498964803,1.2581418219461695,1.148791407867495,68.697,69.1153,69.8377,75.6023,1,1,1,1,1,1,1,1,1,0.0884844423076923,0.0715993589743589,0.0270717948717948,1,1,1,1,0,1.0,1.0,1.3499999999999999,25.806708116070713,22.47886599153023,1.148043149765401,0.4457593688362919
156,1.017,2.2815,3.5,0.15,2.206774510772822,1.0,0.0311693113307878,40.0,RSN3753_LANDERS_FVR045,7.459638147908064,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166374,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.7905212794022618,0.2788077245687171,0.1526168293310774,0.1316724600329325,1.0,17.9512,0.0025833974358974,0.0045626923076923,0.0049368589743589,0.4765502070393375,0.1153426501035196,0.1023333333333333,0.185180900621118,69.4498,68.8099,68.637,67.9545,0,0,0,0,0,0,0,0,0,8.339743589743567e-05,0.0001042948717948,0.0002482051282051,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,11.694311308241955,2.206774510772822,0.4457593688362919
157,1.017,2.2815,3.5,0.15,1.2467926631293103,1.0,0.0311693113307878,40.0,RSN882_LANDERS_FHS000,6.97658314242958,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166534,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.0826701245160193,0.5937813015878867,0.1402947295203256,0.2330551319111285,1.0,13.2261,0.0022797435897435,0.0036170512820512,0.003173141025641,0.2437686335403726,0.0675041407867494,0.0903146997929606,0.1188346273291925,31.991,32.9356,33.9703,34.5822,0,0,0,0,0,0,0,0,0,0.0005828205128205,0.000969423076923,0.0010289102564102,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,20.698476081258583,1.2467926631293103,0.4457593688362919
158,1.017,2.2815,3.5,0.15,1.0019642025658642,1.0,0.0311693113307878,40.0,RSN3947_TOTTORI_SMNH01NS,5.089465333576034,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516656,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.0042451564766894,0.4806390546720504,0.2467401254590955,0.2900018062794293,1.0,27.4885,0.0294429487179487,0.027101923076923,0.0306448717948717,4.242417184265011,1.4498395445134578,0.8312758799171843,0.9547929606625258,80.4652,81.9731,81.8606,81.4651,0,0,0,1,1,1,1,1,1,0.0216915192307692,0.01746,0.0163282692307692,1,0,1,0,0,-1.0,1.0,1.3499999999999999,25.806708116070713,25.756117883237764,1.0019642025658642,0.4457593688362919
159,1.017,2.2815,3.5,0.15,0.9998474752017327,1.0,0.0311693113307878,40.0,RSN3966_TOTTORI_TTR009NS,4.638109124686308,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166437,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,0.7598975951485305,0.5804844052569545,0.2243875722936236,0.2906157546807846,1.0,27.4302,0.0471730769230769,0.033200641025641,0.0228692307692307,3.666666666666667,1.3125465838509318,1.1969953416149068,0.8868918219461698,92.9678,92.1153,81.7554,82.2836,0,0,0,1,1,0,1,1,1,0.0395936346153846,0.0219435897435897,0.0016494871794871,1,1,1,1,0,-1.0,1.0,1.3499999999999999,25.806708116070713,25.81064487947411,0.9998474752017327,0.4457593688362919
160,1.017,2.2815,3.5,0.15,1.1451565325344972,1.0,0.0311693113307878,40.0,RSN3964_TOTTORI_TTR007NS,3.951639656451481,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.20923208051666,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,0.875857220014532,0.4906302500797376,0.2109044677367767,0.2537394847919407,1.0,27.5206,0.0364288461538461,0.0290108974358974,0.0312615384615384,4.164570393374742,1.4547774327122154,1.24523033126294,1.2827018633540372,88.6941,77.3144,88.2622,85.9578,0,0,0,1,1,1,1,1,1,0.0113807115384615,0.0099156858974358,0.0097457692307692,1,1,1,1,0,-1.0,1.0,1.3499999999999999,25.806708116070713,22.535528884382718,1.1451565325344972,0.4457593688362919
161,1.017,2.2815,3.5,0.15,1.0165376158910955,1.0,0.0311693113307878,40.0,RSN3979_SANSIMEO_37737090,8.84189823995875,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166406,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.3581942625519996,0.3435598689981527,0.2842135853146719,0.2858442462227176,1.0,26.7376,0.0186794871794871,0.0189108974358974,0.0248358974358974,2.512712215320911,0.9268452380952382,1.008053830227743,0.9818271221532092,61.0142,61.4043,62.5567,62.7587,0,0,0,0,0,0,1,1,1,0.0096773076923076,0.0079065192307692,0.0056967307692307,1,1,1,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,25.38686981440288,1.0165376158910955,0.4457593688362919
162,1.017,2.2815,3.5,0.15,1.2197991024994517,1.0,0.0311693113307878,40.0,RSN4031_SANSIMEO_36695090,3.143770700310586,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516642,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.109347082674647,0.4171502251078932,0.2250850005286666,0.238212528584443,1.0,25.9906,0.003000641025641,0.0041083333333333,0.0034910256410256,0.5208281573498965,0.2269873188405797,0.1856133540372671,0.1524495341614907,44.9032,45.4842,47.1515,49.9193,0,0,0,0,0,0,0,0,0,2.237179487179483e-05,0.000231282051282,0.0005763461538461,1,1,1,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,21.15652328583536,1.2197991024994517,0.4457593688362919
164,1.017,2.2815,3.5,0.15,1.4310034369740645,1.0,0.0311693113307878,40.0,RSN4040_BAM_BAM-L,1.156195001521865,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166186,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.2246752752670038,0.6116317111533642,0.1467528013024362,0.2030543191327743,1.0,19.3761,0.0016134615384615,0.0020121794871794,0.00185,0.4144073498964803,0.056473602484472,0.0664624741200828,0.0892443064182194,61.81100000000001,62.5924,63.806,64.2512,0,0,0,0,0,0,0,0,0,0.0001205128205128,0.0001997307692307,0.0003733974358974,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,18.033994502934547,1.4310034369740643,0.4457593688362919
166,1.017,2.2815,3.5,0.15,0.7519772363694848,1.0,0.0311693113307878,40.0,RSN4230_NIIGATA_NIGH13NS,19.40555792426541,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166252,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.238590977464498,0.4544764463199602,0.3095690123516418,0.3864098732220878,1.0,26.4554,0.0116532051282051,0.0144647435897436,0.0189339743589743,1.2235144927536232,0.6638975155279503,0.6820885093167703,0.6591796066252589,41.4077,40.6114,46.8179,53.6825,0,0,0,0,0,0,1,1,1,0.0004507692307692,0.000406282051282,0.0016165384615384,0,1,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,34.31846985244453,0.7519772363694849,0.4457593688362919
167,1.017,2.2815,3.5,0.15,0.9904877190710906,1.0,0.0311693113307878,40.0,RSN4211_NIIGATA_NIG021NS,5.403159840889075,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166634,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,0.9887571785593212,0.3598055091515156,0.2825933814207644,0.2933619700443487,1.0,26.8595,0.0218410256410256,0.0215602564102564,0.0259685897435897,2.5574249482401656,0.986601966873706,0.9926708074534164,1.0224430641821944,130.42700000000002,130.476,128.929,127.36,0,0,0,0,0,1,1,1,1,0.0058034743589743,0.0087350128205128,0.0103501282051282,1,1,1,0,0,-1.0,1.0,1.3499999999999999,25.806708116070713,26.05454627975906,0.9904877190710906,0.4457593688362919
168,1.017,2.2815,3.5,0.15,1.2290976421472866,1.0,0.0311693113307878,40.0,RSN4854_CHUETSU_65020NS,9.53028980175825,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.209232080516618,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.1068793075325492,0.5651973876564588,0.1766231029661524,0.2364103701832735,1.0,19.8305,0.0022397435897436,0.0034739102564102,0.0033414102564102,0.3427406832298137,0.0946076604554865,0.0960773809523809,0.1261110248447205,57.2087,57.6178,58.9546,60.4899,0,0,0,0,0,0,0,0,0,5.642179487179495e-05,0.0001163929487179,6.805512820512823e-05,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,20.996467026806176,1.2290976421472866,0.4457593688362919
169,1.017,2.2815,3.5,0.15,0.7623001253304934,1.0,0.0311693113307878,40.0,RSN5267_CHUETSU_NIG021NS,9.083087138618977,0.0767230276945186,0.0767230276945186,80.0,80.0,W24X68,W18X40,W14X159,25.80670811607072,1.2092320805166712,2.202953566257563,4.043163470683025,0.4616529442913802,0.2515357114235589,0.6008218526043376,1.2674140137394825,0.4916197837444988,0.2651332842567983,0.3811772016244285,1.0,20.9214,0.0023429487179487,0.0030948717948718,0.0031241025641025,0.3514984472049689,0.0856643374741201,0.1172797619047619,0.1333636128364389,42.4401,44.665,46.7222,48.9999,0,0,0,0,0,0,0,0,0,0.0008183333333333,0.0009153846153846,0.0007813461538461,0,0,0,0,0,-1.0,-1.0,1.3499999999999999,25.806708116070713,33.85373720735292,0.7623001253304934,0.4457593688362919
