cost_mean,cost_std,cost_min,cost_10%,cost_50%,cost_90%,cost_max,time_l_mean,time_l_std,time_l_min,time_l_10%,time_l_50%,time_l_90%,time_l_max,time_u_mean,time_u_std,time_u_min,time_u_10%,time_u_50%,time_u_90%,time_u_max,collapse_freq,irreparable_freq,replacement_freq,B_mean,B_std,B_min,B_25%,B_50%,B_75%,B_max,C_mean,C_std,C_min,C_25%,C_50%,C_75%,C_max,D_mean,D_std,D_min,D_25%,D_50%,D_75%,D_max,E_mean,E_std,E_min,E_25%,E_50%,E_75%,E_max
8100000.0,0.0,8100000.0,8100000.0,8100000.0,8100000.0,8100000.0,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.0,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,4764.705882352941,0.7207,0.2793,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76145.03172932239,43079.36332215931,12239.998335340282,29412.33328960966,70382.6620626617,136672.72226150017,361473.75654150656,34.70813060625121,30.83995215632168,3.1176249647013403,9.806224134329998,19.102867088693216,83.78255471642014,178.48851893098342,54.11099924083024,35.59773597064682,6.456475024749623,20.17301214298176,40.56420961757623,108.9714208683441,223.80051873763412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28314.8823816942,9437.397404179726,5108.749144489277,21827.150560836293,27662.968636966438,33767.692171707466,298696.417290288,40456.43383477735,41793.26052959279,0.0,0.0,35791.17069711026,66304.84965745787,240867.67798344576,7373.715512850837,3360.5033946137714,1639.2232026396932,5086.922414313567,6651.853147919774,8810.92753695393,43614.34827998829
329064.3305184584,66156.27077512212,145558.92835609178,250014.12470439303,324321.9170242757,412552.9239685255,1548461.4934033968,89.80541159782298,35.099155508051325,30.27587159672777,55.19245101413777,83.58391476801016,131.6218837688027,1107.8323900044854,208.5539373365914,48.70945116794414,94.30013903164286,154.04818236811008,203.51734531758296,267.14077666578174,1207.0635414151354,0.0,0.0,0.0,934.8139305898808,3305.786820639797,0.0,0.0,0.0,207.66163637884293,60550.13515076309,142510.51350903005,39035.552226004336,63907.22579432751,118001.05570993906,136699.3659951779,159964.5082523903,1380557.6548990868,178190.70445011125,53095.49625883428,21746.005862539478,140061.09129302483,174466.42700475897,213062.83490873672,412776.2293826151,7428.298628727193,3365.958241956781,1523.699494117675,5103.009828638903,6738.239046653194,8973.878866036699,46496.23038910176
401721.4875170423,74683.92153119168,201939.0104495176,313837.8838855612,397116.6118169398,493643.25951473374,1618210.4821689888,101.58401228664025,42.16770794081237,29.466634578066788,63.9220815659632,94.55277866633114,143.53293980596433,1455.9012393464254,251.81035148883691,60.106855422794176,97.6930873430724,188.732807494092,245.2211049428501,318.94135603356165,1669.227982873688,0.0,0.0,0.0,6678.951015633854,14439.207957220777,0.0,740.609707800889,2674.2626408608426,6689.509726288922,493253.5241245022,168254.8283048563,47771.59780419977,75367.5777417794,138321.30254865438,160814.759454638,189269.6452273357,1362774.7796172986,219958.41050705904,55529.66828423119,45308.34958284546,180867.4042549242,217242.53164888348,255626.44408703723,493912.2431117949,6829.297689493014,3170.610502857608,1209.014673417866,4682.307527131187,6122.065240835477,8215.026444719155,41295.23100328348
12367.558538913165,12112.409559978569,1821.172825815381,5606.845842437752,9414.722949669938,17569.379434273033,177998.62480058864,3.0434301112559488,5.61269016035824,0.136780149187976,0.6361206262806204,1.829193445743256,5.2215396431816,125.93356728655328,4.307096466184295,6.149985150427328,0.2996495468610188,1.1603526225974,2.945128132458536,7.247153081197401,133.39907979265644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.490824176667,2290.870992615617,0.0,565.9609396318217,1587.917164042226,3147.3749918295,39625.76542578626,2483.940856615911,11365.172796367331,0.0,0.0,0.0,0.0,165380.60077295997,7718.126858120584,3440.1028050085206,1821.172825815381,5380.973004448233,7005.406260591328,9203.131331676712,39945.9180072779
34142.80043912766,20742.174101450943,8648.91936518848,18328.166472946137,28960.786702564576,52536.7665778148,256239.53730072832,14.133067148332133,14.910200730167954,1.7665996597086076,5.90701868510934,10.690313972871303,19.948822270090385,226.31307794566249,23.610465073861736,17.358260193948144,4.032966981129926,11.68057619028429,19.77673355762357,34.29195461418379,248.8129305041473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21267.276435497028,8024.195086333938,3397.6067145895868,15266.438791284512,20553.958161288538,26263.98271404509,78645.7391220115,5640.040855329953,18716.03234803317,0.0,0.0,0.0,0.0,216115.5835050385,7235.483148300689,3259.6284096245536,1468.024816193722,4975.820854769934,6539.010418889044,8686.059452393212,41652.18895867454
1051174.593729108,688407.3097646555,560796.9931091013,822757.6010227986,981967.3680469888,1162526.9647445949,8100000.0,301.93868790267965,431.9625930564839,119.2217853478303,195.87212102774507,253.27192875394576,338.8085119184453,4764.705882352941,696.6440620742426,404.13102889123405,337.3779952646974,535.2394789546235,651.7951107822917,798.3664687349034,4764.705882352941,0.0,0.0091,0.0091,293612.5239714705,93776.19745022744,44219.57318624968,228796.91349977185,287298.2673961662,351491.0751509228,1715607.1383657595,379135.21881399135,69863.38759880842,191133.8847704544,332056.3563764137,375742.80019403854,420455.51875081833,1419199.576495769,306333.5217828166,64035.31866549407,94463.73188783496,261919.2777450314,302187.0033296216,346447.4865911654,869853.7751689266,7359.944160259258,3353.774973937532,1627.1947530843,5047.253384044122,6648.496740204626,8822.737424258868,34490.771516352346
30217.705649137723,15980.536126453226,6380.267384474924,16689.36492281813,26680.9685839475,43846.20481059967,162027.46172979622,10.787888602840852,5.635386184773751,1.2129564486448825,5.273354338133223,9.943510012676434,16.98407449787863,134.93973158823297,19.185491170538874,8.46762884225679,3.174358368088134,10.28881240274812,17.86032669273508,29.29373344906059,142.75108833132407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19327.84298940025,7713.691501043482,3098.558791501836,13535.560546371084,18473.565505938197,24113.1956216594,71984.46274731038,3753.271385237105,13573.740576019583,0.0,0.0,0.0,0.0,136031.3603266916,7136.591274500364,3286.7939946193237,1486.713201917161,4871.865558626274,6400.212219714202,8564.512036782184,36774.6146277198
41730.177651255006,35156.12736852175,4362.401374550326,12389.31460506861,24424.81014915913,97085.43006889304,202902.60753738185,24.85284992785313,30.048779619628387,0.7721296398508701,3.4994419038796747,9.446339903474508,72.94780323934448,206.62615063547904,31.706326195543028,32.35239444754022,1.5115147779596343,6.758365377092353,15.709388446146496,83.18985009909692,211.3539281233193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11956.732097004322,6373.080906669588,592.9703166314389,7196.427468794565,10706.54494728732,15374.43446012402,101430.573689264,22634.74880976501,34338.51057610419,0.0,0.0,0.0,43193.67514202109,193424.96522570556,7138.696744485678,3274.227399535531,1590.1182297004457,4877.248750530781,6443.882586443762,8570.09713527992,36556.889628758334
3236406.228088111,2650186.0793314404,1194097.382429483,1593926.7469330349,1862804.582906192,8100000.0,8100000.0,1485.149105634854,1785.775994998294,267.01592620787386,414.97887948957447,541.8622510431696,4764.705882352941,4764.705882352941,1993.232592984518,1512.1320075043486,718.2336419770419,1027.4051852881212,1217.7209582449177,4764.705882352941,4764.705882352941,0.0,0.2283,0.2283,973027.3514384172,154166.8853453737,497236.6777780716,867939.1687886846,968668.9026001734,1074513.3217936512,1942808.40360504,504610.4462931416,62063.77998584057,270542.68073620513,466365.8429339442,502340.67245196,539546.592286938,1224429.9906102417,313436.7007760075,67069.45938176768,142831.71474366452,267846.0635437303,307454.9887871448,353460.49960760964,1003874.185107371,6484.43383416098,3023.644157252069,1236.6783651819155,4363.319116794607,5825.154419122608,7817.187362094189,35145.262534479865
