,repair_cost,repair_time,repair_time
,,parallel,sequential
min,10391.718378398731,3.3073829080561,7.03707173341154
10%,33801.267165540754,10.737072931644487,23.362535544082327
50%,84871.66895518496,19.442999004376503,43.82580967694406
90%,158332.14716398207,80.53847954920086,111.99490492766198
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,227370.45428812542,136.43013182568492,143.26946175641933
std,1175935.3355866168,691.7772991569873,690.8521235947151
min,4515.650601136231,0.6186384400899645,1.345918231152772
10%,13318.711753734617,3.504329580951421,6.8426512643731225
50%,44205.67740833428,18.31203570734467,27.295874661103547
90%,113666.88538631792,91.52643091959776,100.90611172584944
max,8100000.0,4764.705882352941,4764.705882352941
count,10000.0,10000.0,10000.0
mean,189750.88064872072,103.06613695125944,117.84923269115717
std,1068054.7942406854,629.4050429801615,627.4438355287507
min,13574.169892179842,4.1526898068553635,8.281546069753265
10%,31770.771289173677,11.283367102673457,22.621663925671108
50%,44069.85951088235,17.26456202935462,32.453400121587606
90%,61675.387994971126,26.98505391721387,45.771906997905965
