S1,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,accMax0,accMax1,accMax2,accMax3,velMax0,velMax1,velMax2,velMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,occupancyDrift1,occupancyDrift2,occupancyDrift3,resDrift1,resDrift2,resDrift3,impactedLeft,impactedRight,impacted,uplifted,runFailed
1.079431897,3.435299613,0.14581778,0.039538456,17.87373984,1.35291126,1.530090981,RSN1148_KOCAELI_ARE000,10.21003728,0.058772948,0.058772948,75.06970732,75.06970732,W21X62,W18X40,W14X132,36.71368019,1.375853468,1.093290694,3.916595032,0.987323776,0.275604674,0.637705282,1.190800732,1.082304147,0.312415943,0.426147041,27.4686,0.017673077,0.019867308,0.016528205,1.600401139,0.308962215,0.325427019,0.38865942,62.2068,62.7104,66.4,70.1434,0,0,0,0,0,0,1,1,1,0.002522256,0.000785853,0.003118507,0,0,0,0,0
0.812268427,3.056175375,0.127789559,0.019617699,29.35518184,0.580345141,1.030486849,RSN575_SMART1.45_45M01EW,2.696975084,0.072102762,0.072102762,58.71036367,58.71036367,W21X68,W21X44,W14X145,10.98727875,1.289917761,2.089587721,3.463647546,0.388721861,0.234512437,0.479870817,0.9240047,0.362101161,0.264802211,0.239183732,11.2886,0.010246154,0.011097436,0.008521795,0.746162008,0.396651139,0.366418219,0.357393892,26.4247,29.8286,37.5043,41.9874,0,0,0,0,0,0,1,1,1,0.00193381,0.001593609,0.000988006,0,1,1,0,0
1.026048926,3.345823368,0.146165908,0.02843704,44.3625982,1.091446736,0.912521135,RSN20_NCALIF.FH_H-FRN044,2.823236855,0.111599752,0.111599752,75.41641693,75.41641693,W24X76,W21X44,W14X193,27.39891538,1.096349617,2.599067161,3.925629014,0.394775842,0.261371852,0.606167764,0.748013499,0.408973712,0.207330165,0.284563966,25.1588,0.008271795,0.011424359,0.008990385,0.510408903,0.254039079,0.294547101,0.330949793,57.4205,58.043,57.9746,59.1844,0,0,0,0,0,0,1,1,1,0.000901108,0.001494038,0.001403154,0,0,0,0,0
1.240268766,3.635050755,0.151297214,0.021556895,31.24092583,1.478230854,1.894377141,RSN3966_TOTTORI_TTR009NS,5.656344031,0.090246142,0.090246142,87.47459232,87.47459232,W24X62,W18X40,W14X132,48.17947051,1.323101945,2.204287861,4.227827613,0.562661886,0.293358405,0.732724265,0.926722962,0.70732662,0.257685633,0.328300023,34.0889,0.029041026,0.02584359,0.017280128,0.937453416,0.366317288,0.367321429,0.458227226,95.4389,95.5752,92.6465,103.111,0,0,0,1,1,0,1,1,1,0.019629038,0.013988205,0.007863333,0,0,0,0,0
1.26460292,2.503494198,0.119110058,0.061647748,34.16316673,1.442818474,1.566343064,RSN5267_CHUETSU_NIG021NS,11.29449216,0.298797015,0.298797015,40.99580008,40.99580008,W24X84,W21X44,W14X193,35.55826044,1.063256241,2.353846475,2.894316301,0.537249533,0.436926303,0.747100363,1.57598374,0.556884907,0.464820371,0.513331671,19.042,0.013483974,0.015796795,0.012955769,3.570263975,0.508253106,0.569611801,0.544704969,61.9873,64.6861,71.6494,80.4126,0,0,0,0,0,0,1,1,1,0.001754103,0.001446923,0.001377885,0,0,0,0,0
1.162591457,3.155730072,0.185862182,0.031997968,17.60191521,1.46190444,0.99219895,RSN1615_DUZCE_1062-N,15.09945363,0.093065411,0.093065411,70.40766085,70.40766085,W24X76,W21X44,W14X193,36.01546204,1.096349618,1.536268005,3.793029892,0.756763438,0.306507328,0.686834172,1.447555024,0.956579061,0.348521525,0.212527648,14.4589,0.009005192,0.01466,0.016282821,1.276902174,0.311674431,0.335372671,0.818597308,43.4127,46.5022,52.1863,53.8262,0,0,0,0,0,0,1,1,1,0.001284551,0.003441346,0.00468634,0,0,0,0,0
1.108645548,3.333676675,0.153471852,0.023198604,29.7463685,1.106204948,1.097223969,RSN4854_CHUETSU_65020NS,10.38909869,0.093992024,0.093992024,74.36592125,74.36592125,W24X68,W18X40,W14X176,29.41423663,1.179160807,2.139657354,3.898192562,0.51814163,0.284399893,0.654964083,1.206624205,0.647056626,0.211748365,0.284490669,25.0289,0.012851923,0.015575,0.014323077,1.024505694,0.341532091,0.335367495,0.385634058,64.2261,71.4394,79.8645,84.4727,0,0,0,0,0,0,1,1,1,0.004885378,0.005133712,0.004675519,0,0,0,0,0
1.263071493,3.10464637,0.131267541,0.057229296,35.00668638,1.626320132,0.829179831,RSN15_KERN_TAF021,8.066962674,0.076601809,0.076601809,59.51136684,59.51136684,W30X90,W18X50,W14X257,48.24535033,0.890909284,1.345009278,3.487195294,0.939080134,0.362202683,0.746195628,1.427706381,1.078789419,0.258612741,0.341426946,13.4216,0.004829487,0.00610641,0.006376282,1.880468427,0.295124224,0.356089545,0.445822981,57.0427,54.5664,55.0276,61.8342,0,0,0,0,0,0,0,0,0,0.00028309,0.00051968,0.000511387,0,0,0,0,0
1.203610083,3.178305682,0.152579686,0.035946155,35.64337953,0.737652915,1.831982295,RSN1083_NORTHR_GLE170,8.227677544,0.119058551,0.119058551,67.7224211,67.7224211,W24X68,W21X44,W14X159,20.34204518,1.194308154,2.254853602,3.71999662,0.533786354,0.323551392,0.711067099,1.693796597,0.433668984,0.318088761,0.290860808,17.265,0.007868846,0.010591667,0.008600385,1.359565217,0.270781573,0.279464286,0.404580745,46.9365,46.7355,49.5337,53.1543,0,0,0,0,0,0,1,1,1,0.000507322,0.000812662,0.000280042,0,0,0,0,0
1.269130591,2.73905703,0.121161086,0.058974671,38.23965819,1.763563135,1.837791991,RSN4040_BAM_BAM-L,1.442834263,0.144931175,0.144931175,45.88758983,45.88758983,W24X76,W21X44,W14X176,47.49045041,1.123718008,2.152740959,3.062132163,0.589541712,0.414459769,0.749775214,1.528291893,0.79994522,0.336005113,0.441520939,25.1205,0.024980128,0.02228141,0.017310897,1.835750518,0.386620083,0.394327122,0.431079193,70.9971,75.2957,76.7039,79.8669,0,0,0,0,0,0,1,1,1,0.014341827,0.010224038,0.007912628,0,0,0,0,0
